Imperial Blond Ale,Imperial Blonde Ale,Double Blonde Ale,,,,,,,,
"Amber, Red, and Brown Ales - Imperial",Imperial Brown Ale,,,,,,,,,
Brown Ale - Imperial / Double,Imperial Brown Ale,Double Brown Ale,,,,,,,,
Imperial Chocolate Stout,Imperial Chocolate Stout,Double Chocolate Stout,,,,,,,,
Double IPA,Imperial IPA,Double IPA,,,,,,,,
Imperial IPA,Imperial IPA,,,,,,,,,
IPA - Imperial / Double,Imperial IPA,,,,,,,,,
IPAs - Double IPA,Imperial IPA,Double IPA,DIPA,Imperial India Pale Ale,Double India Pale Ale,,,,,
Imperial Milk Stout,Imperial Milk Stout,,,,,,,,,
Stout - Imperial Milk / Sweet,Imperial Milk Stout,,,,,,,,,
IPA - Imperial / Double New England,Imperial New England IPA,Hazy Imperial IPA,Hazy DIPA,Hazy Double IPA,NEDIPA,Double New England IPA,Hazy Double India Pale Ale,Hazy Imperial India Pale Ale,Double New England India Pale Ale,Imperial New England India Pale Ale
IPAs - Hazy DIPA,Imperial New England IPA,,,,,,,,,
Peanut Butter Porter - Imperial,Imperial Peanut Butter Porter,Double Peanut Butter Porter,,,,,,,,
Imperial Pilsner,Imperial Pilsner,,,,,,,,,
Pilsner - Imperial / Double,Imperial Pilsner,Double Pilsner,,,,,,,,
Imperial Porter,Imperial Porter,,,,,,,,,
Porter - Imperial / Double,Imperial Porter,,,,,,,,,
Imperial Stout,Imperial Stout,,,,,,,,,
Porters and Stouts - Imperial Stout,Imperial Stout,Double Stout,,,,,,,,
Stout - Imperial / Double,Imperial Stout,Double Stout,,,,,,,,
Amber and Dark Lagers - International Dark Lager,International Dark Lager,,,,,,,,,
IPA - International,International IPA,International India Pale Ale,,,,,,,,
IPA,IPA,India Pale Ale,,,,,,,,
IPA,IPA,,,,,,,,,
IPAs - IPL (India Pale Lager),IPL,,,,,,,,,
IPL,IPL,,,,,,,,,
Lager - IPL (India Pale Lager),IPL,,,,,,,,,
Wheat Beers - IPL (India Pale Lager),IPL,India Pale Lager,,,,,,,,
"Amber, Red, and Brown Ales - Irish Red Ale",Irish Red Ale,,,,,,,,,
Irish Red Ale,Irish Red Ale,,,,,,,,,
Porters and Stouts - Irish Stout,Irish Stout,,,,,,,,,
Blonde and Pale Ales - Kölsch,Kölsch,Kolsch,Koelsch,,,,,,,
Kölsch,Kölsch,,,,,,,,,
None - Kölsch,Kölsch,Kolsch,Koelsch,,,,,,,
None - Kombucha,Kombucha,,,,,,,,,
Lager,Lager,,,,,,,,,
* Light Lager,Light Lager,,,,,,,,,
Lager - Helles,Maibock,Helles Bock,,,,,,,,
Maibock,Maibock,,,,,,,,,
Maibock/Helles Bock,Maibock,,,,,,,,,
Munich Helles Lager,Maibock,,,,,,,,,
Pilsners and Pale Lagers - Helles Bock,Maibock,,,,,,,,,
Mead,Mead,,,,,,,,,
Mead - Other,Mead,,,,,,,,,
Milk Stout,Milk Stout,Sweet Stout,,,,,,,,
Milk/Sweet Stout,Milk Stout,,,,,,,,,
Porters and Stouts - Sweet Stout,Milk Stout,,,,,,,,,
Stout - Milk / Sweet,Milk Stout,,,,,,,,,
IPA - Milkshake,Milkshake IPA,,,,,,,,,
Sour and Fruit Beers - Mixed-Fermentation Sour Beer,Mixed-Fermentation Sour Beer,,,,,,,,,
Amber and Dark Lagers - Munich Dunkel,Munich Dunkel,,,,,,,,,
Hazy IPA,New England IPA,,,,,,,,,
IPA - New England,New England IPA,,,,,,,,,
New England IPA,New England IPA,NEIPA,New England India Pale Ale,Hazy IPA,,,,,,
"Amber, Red, and Brown Ales - Oatmeal Brown Ale",Oatmeal Brown Ale,,,,,,,,,
Oatmeal Stout,Oatmeal Stout,,,,,,,,,
Porters and Stouts - Oatmeal Stout,Oatmeal Stout,,,,,,,,,
Stout - Oatmeal,Oatmeal Stout,,,,,,,,,
Amber and Dark Lagers - Märzen,Oktoberfest,Marzen,Maerzen,Octoberfest,Märzen,,,,,
Märzen/Oktoberfest,Oktoberfest,,,,,,,,,
Oktoberfest,Oktoberfest,,,,,,,,,
Old Ale,Old Ale,,,,,,,,,
Strong Ales - Old Ale,Old Ale,,,,,,,,,
Pale Ale,Pale Ale,,,,,,,,,
Peach Cider,Peach Cider,,,,,,,,,
None - Pilsner,Pilsner,Pilsener,,,,,,,,
Pilsner,Pilsner,,,,,,,,,
Pilsner - Other,Pilsner,,,,,,,,,
Pineapple Cider,Pineapple Cider,,,,,,,,,
Porter,Porter,,,,,,,,,
Porter - Other,Porter,,,,,,,,,
None - Pumpkin / Yam Beer,Pumpkin/Yam Beer,Sweet Potato Beer,,,,,,,,
Quadrupel,Quadrupel,Quadruple,,,,,,,,
Strong Ales - Abt/Quadrupel,Quadrupel,,,,,,,,,
Radler,Radler,,,,,,,,,
Red Ale,Red Ale,,,,,,,,,
IPA - Red,Red IPA,Red India Pale Ale,,,,,,,,
IPAs - Red IPA,Red IPA,,,,,,,,,
Red IPA,Red IPA,,,,,,,,,
Lager - Red,Red Lager,,,,,,,,,
Porters and Stouts - Robust Porter,Robust Porter,,,,,,,,,
Roggenbier,Roggenbier,,,,,,,,,
Rosé Hard Cider,Rosé Cider,Rose Cider,,,,,,,,
Porters and Stouts - Russian Imperial Stout,Russian Imperial Stout,,,,,,,,,
Russian Imperial Stout,Russian Imperial Stout,RIS,,,,,,,,
Stout - Russian Imperial,Russian Imperial Stout,,,,,,,,,
IPA - Rye,Rye IPA,Rye India Pale Ale,,,,,,,,
IPAs - Rye IPA,Rye IPA,,,,,,,,,
Blonde and Pale Ales - Saison,Saison,Farmhouse Ale,,,,,,,,
None - Saison / Farmhouse Ale,Saison,,,,,,,,,
Saison,Saison,,,,,,,,,
Saison/Farmhouse Ale,Saison,,,,,,,,,
Amber and Dark Lagers - Schwarzbier,Schwarzbier,German Black Lager,,,,,,,,
None - Schwarzbier,Schwarzbier,,,,,,,,,
Schwarzbier,Schwarzbier,,,,,,,,,
"Amber, Red, and Brown Ales - Scotch Ale",Scotch Ale,,,,,,,,,
None - Scotch Ale / Wee Heavy,Scotch Ale,Scottish Ale,,,,,,,,
Scotch Ale,Scotch Ale,,,,,,,,,
Scottish Ale,Scotch Ale,,,,,,,,,
"Amber, Red, and Brown Ales - Scottish Heavy",Scottish Wee Heavy Ale,Scotch Wee Heavy,,,,,,,,
Scotch Ale/Wee Heavy,Scottish Wee Heavy Ale,,,,,,,,,
Strong Ales - Wee Heavy,Scottish Wee Heavy Ale,,,,,,,,,
Ciders and Meads - Seasonal,Seasonal Cider,,,,,,,,,
Ciders and Meads - Semi-Sweet Mead,Semi-Sweet Mead,,,,,,,,,
Session Ale,Session Ale,,,,,,,,,
IPAs - Session IPA,Session IPA,India Session Ale,Session India Pale Ale,,,,,,,
Session IPA,Session IPA,,,,,,,,,
None - Shandy / Radler,Shandy/Radler,,,,,,,,,
Shandy,Shandy/Radler,,,,,,,,,
Smoked Lager,Smoked Lager,,,,,,,,,
Sour,Sour,,,,,,,,,
Sour - Ale,Sour,,,,,,,,,
Sour - Fruited,Sour Fruit Beer,,,,,,,,,
Sour Fruit,Sour Fruit Beer,,,,,,,,,
Sour Red,Sour Red,,,,,,,,,
Specialty Beers - Specialty Beer,Specialty Beer,,,,,,,,,
Ciders and Meads - Other Specialty Cider/Perry,Specialty Cider/Perry,,,,,,,,,
Specialty Beers - Specialty Wood-Aged Beer,Specialty Wood-Aged Beer,,,,,,,,,
None - Spiced / Herbed Beer,Spiced/Herbed Beer,,,,,,,,,
"Specialty Beers - Spice, Herb, or Vegetable Beer",Spiced/Herbed Beer,,,,,,,,,
Stout,Stout,,,,,,,,,
Stout - Other,Stout,,,,,,,,,
Porters and Stouts - Stout Brewed With Cherry Juice,Stout with Cherries,Cherry Stout,,,,,,,,
Cider - Sweet,Sweet Cider,,,,,,,,,
Ciders and Meads - Sweet Mead,Sweet Mead,,,,,,,,,
Tripel,Tripel,,,,,,,,,
IPAs - Triple IPA,Triple IPA,Triple India Pale Ale,,,,,,,,
Vanilla Porter,Vanilla Porter,,,,,,,,,
Weissbier,Weissbier,,,,,,,,,
Wheat Beers - Weissbier,Weissbier,,,,,,,,,
Bock - Weizenbock,Weizenbock,,,,,,,,,
Weizenbock,Weizenbock,,,,,,,,,
Wheat Beers - Weizenbock,Weizenbock,,,,,,,,,
Wheat Ale,Wheat Ale,,,,,,,,,
Wheat,Wheat Beer,,,,,,,,,
Wheat Beer - Other,Wheat Beer,,,,,,,,,
None - Wheat Wine,Wheatwine,,,,,,,,,
IPAs - White IPA,White IPA,White India Pale Ale,,,,,,,,
Stout - White,White Stout,,,,,,,,,
White Wine,White Wine,,,,,,,,,
Wild Ale,Wild Ale,,,,,,,,,
Sour and Fruit Beers - Wild Specialty Beer,Wild Specialty Beer,Sour (Wild Specialty Beer),,,,,,,,
None - Winter Ale,Winter Warmer,,,,,,,,,
Winter Warmer,Winter Warmer,Winter Ale,,,,,,,,
None - Witbier,Witbier,,,,,,,,,
Wheat Beers - Witbier,Witbier,,,,,,,,,
Witbier,Witbier,,,,,,,,,
Wheat Beers - Witbier with Fruit,Witbier with Fruit,,,,,,,,,
